,Link-href,Name,Types,About,Duration,Address,Rating,ReviewsNo,ExcellentRating,VeryGoodRating,AverageRating,PoorRating,TerribleRating,StartTime,EndTime,LunchStart,LunchEnd,DurationMin,DurationMax
339,https://www.tripadvisor.com/Attraction_Review-g189158-d8817898-Reviews-Jardim_Ducla_Soares-Lisbon_Lisbon_District_Central_Portugal.html,Jardim Ducla Soares,['Gardens'],,Duration: 1-2 hours,"Avenida do Restelo Belém, Lisbon 1400-038 Portugal",4.5,4,1,3,0,0,0,,,,,0 days 01:00:00,0 days 02:00:00
340,https://www.tripadvisor.com/Attraction_Review-g189158-d15289617-Reviews-Metro_Station_Picoas-Lisbon_Lisbon_District_Central_Portugal.html,Metro Station Picoas,['Points of Interest & Landmarks'],,Duration: < 1 hour,"Av. Fontes Pereira de Melo, Crossroads with R. Tomas Ribeiro, Lisbon 1050-123 Portugal",4.5,6,2,4,0,0,0,,,,,,0 days 01:00:00
341,https://www.tripadvisor.com/Attraction_Review-g189158-d4022420-Reviews-Esplanada_do_Torel-Lisbon_Lisbon_District_Central_Portugal.html,Esplanada do Torel,['Points of Interest & Landmarks'],,,,4.0,12,1,9,2,0,0,,,,,,
342,https://www.tripadvisor.com/Attraction_Review-g189158-d15688180-Reviews-Estatua_Calouste_Gulbenkian-Lisbon_Lisbon_District_Central_Portugal.html,Estatua Calouste Gulbenkian,['Monuments & Statues'],,,"Avenida de Berna 45 Calouste Gulbenkian foundation garden, Lisbon 1067-001 Portugal",5.0,2,2,0,0,0,0,,,,,,
343,https://www.tripadvisor.com/Attraction_Review-g189158-d13939847-Reviews-Pavilhao_Multiusos_Joao_Rocha-Lisbon_Lisbon_District_Central_Portugal.html,Pavilhao Multiusos Joao Rocha,['Arenas & Stadiums'],,Duration: 1-2 hours,"Rua Francisco Stromp, Lisbon 1600-464 Portugal",4.0,3,2,0,0,1,0,,,,,0 days 01:00:00,0 days 02:00:00
344,https://www.tripadvisor.com/Attraction_Review-g1826007-d17781005-Reviews-Miradouro_do_Monte_Gordo-Vila_Franca_de_Xira_Lisbon_District_Central_Portugal.html,Miradouro do Monte Gordo,['Lookouts'],,,"R. Q.ta de Santo Amaro 14, Vila Franca de Xira 2600-285 Portugal",4.0,4,1,2,1,0,0,,,,,,
345,https://www.tripadvisor.com/Attraction_Review-g189158-d11845453-Reviews-Wozen-Lisbon_Lisbon_District_Central_Portugal.html,Wozen,['Art Galleries'],,Duration: < 1 hour,"Rua das Janelas Verdes 128 Loja B, Lisbon 1200-692 Portugal",5.0,3,3,0,0,0,0,15:00:00,20:00:00,,,,0 days 01:00:00
346,https://www.tripadvisor.com/Attraction_Review-g189158-d15513703-Reviews-LX_XS-Lisbon_Lisbon_District_Central_Portugal.html,LX. XS,['Breweries'],Craft Beer Bottle Shop LX Brewery Local craft beer to go and to stay Beer on the tap,Duration: < 1 hour,"Rua do Funchal 5, Lisbon 1000-162 Portugal",5.0,4,3,1,0,0,0,,,,,,0 days 01:00:00
347,https://www.tripadvisor.com/Attraction_Review-g189158-d17760757-Reviews-Meu_Super-Lisbon_Lisbon_District_Central_Portugal.html,Meu Super,['Points of Interest & Landmarks'],,Duration: < 1 hour,"Rua dos Fanqueiros, Lisbon 1100-232 Portugal",5.0,5,4,1,0,0,0,08:30:00,21:30:00,,,,0 days 01:00:00
348,https://www.tripadvisor.com/Attraction_Review-g189158-d15047996-Reviews-Museu_Sporting-Lisbon_Lisbon_District_Central_Portugal.html,Museu Sporting,['Speciality Museums'],"Located at the Estadio Jose Alvalade, the Sporting Museum depicts the identity and memory of Sporting Clube de Portugal since its foundation in 1906 until today. Come and discover, recall and live unique moments of the most beautiful story of national sport associated to unforgettable conquests achieved by a big eclectic Club.",Duration: 1-2 hours,"Rua Professor Fernando da Fonseca Estádio José Alvalade - Portão 1 - Entrada pelo Hall VIP, Lisbon 1501-806 Portugal",4.0,4,2,0,2,0,0,10:30:00,18:00:00,,,0 days 01:00:00,0 days 02:00:00
349,https://www.tripadvisor.com/Attraction_Review-g189158-d15317671-Reviews-Pinheiro_Chagas-Lisbon_Lisbon_District_Central_Portugal.html,Pinheiro Chagas,['Monuments & Statues'],,Duration: < 1 hour,"Avenida da Liberdade, Lisbon 1250-144 Portugal",4.0,8,1,6,1,0,0,,,,,,0 days 01:00:00
350,https://www.tripadvisor.com/Attraction_Review-g189158-d19117421-Reviews-Re_Volta-Lisbon_Lisbon_District_Central_Portugal.html,Re-Volta,['Monuments & Statues'],,Duration: < 1 hour,"Praca Martim Moniz, Lisbon 1100-341 Portugal",4.5,3,2,1,0,0,0,00:00:00,23:59:00,,,,0 days 01:00:00
351,https://www.tripadvisor.com/Attraction_Review-g189158-d15314792-Reviews-Chafariz_do_Intendente_ou_do_Desterro-Lisbon_Lisbon_District_Central_Portugal.html,Chafariz do Intendente ou do Desterro,"['Points of Interest & Landmarks', 'Fountains']",,Duration: < 1 hour,"R. Palma 290, Lisbon 1100-394 Portugal",5.0,2,2,0,0,0,0,,,,,,0 days 01:00:00
352,https://www.tripadvisor.com/Attraction_Review-g189158-d12879060-Reviews-Turismo_de_Lisboa_Visitors_Convention_Bureau-Lisbon_Lisbon_District_Central_Port.html,Turismo de Lisboa Visitors & Convention Bureau,['Visitor Centers'],,,"Rua do Arsenal 21, Lisbon 1100-038 Portugal",3.5,14,2,5,4,1,0,,,,,,
353,https://www.tripadvisor.com/Attraction_Review-g189158-d17664948-Reviews-Mural_Historico_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,Mural Historico de Lisboa,['Points of Interest & Landmarks'],,,"Rua Norberto de Araujo 14-18, Lisbon 1100-371 Portugal",3.5,6,2,2,1,0,0,,,,,,
